Date,Treatment_Temp,Unit,FFKE#,InitialC0 __PostC1_POCIS,FF#_Running,FF#_Running,Acetaminophen,Amoxicillin,Ampicillin,Atenolol,Atrazine,Benzophenone_1,Benzophenone_3,Beta-Cyfluthrin,Buspirone,Caffeine,Carbamazepine_A,Carbaryl,Chlorpyrifos,Chlortetracycline,Citalopram,Clarithromycin,Clothianidin,Cyhalothrin,DEET,Erythromycin,Esfenvalerate,Ibuprofen,Imidacloprid,Ketoprofen,Malathion,Metformin,Metoprolol,Naproxen,Ofloxacin,Oxytetracycline,Permethrin,Simazine,Sucralose,Sulfadiazine,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiacloprid,Thiamethoxam,Trimethoprim,Venlafaxine,,
6/14/2023,30,2,10,C0,54,FF-54,0.0166,NA,0.0001,0,0.017,0.0007,NA,0.0133,0.0013,0.0136,0.0054,0.0001,0.001,0.0057,0.0063,NA,0.0115,0.0018,0.0007,0.001,0.0005,NA,0.0105,0.0061,0.0104,0.0009,0.0057,0.0174,0.007,0.0189,0.0316,0.0017,0.0146,0.0262,0.0182,NA,0.0137,0.0092,0.0132,0.0011,0.0001,0,0.0019,, 
6/14/2023,30,3,11,C0,55,FF-55,0.0162,NA,0.0002,0,0.0163,0.0006,NA,0.0509,0.0009,0.0125,0.0047,0.001,0.0007,0.0056,0.0061,NA,0.0106,0.0019,0.0006,0.0007,0.0004,NA,0.0203,0.0056,0.0094,0.0006,0.0056,0.0148,0.007,0.0177,0.0319,0.0015,0.0138,0.0285,0.0168,NA,0.0131,0.0091,0.0132,0.001,0.0149,0.0102,0,, 
6/14/2023,30,4,12,C0,56,FF-56,0.014,NA,0,0,0.0154,0.0005,NA,0.0563,0,0.0119,0.0048,0.0009,0.0006,0.0058,0.0055,NA,0,0.0021,0.0004,0.0006,0.0004,NA,0.0176,0.0055,0.0097,0.0005,0.0058,0.0133,0.0065,0.0023,0.0292,0.0013,0.0133,0.0236,0.0165,NA,0.0119,0.0084,0.0128,0.0007,0.0123,0.0098,0.0015,, 
6/14/2023,45,1,13,C0,57,FF-57,0.0174,NA,0.0042,0,0.0166,0.0004,NA,NA,0.001,0.0133,0.0055,0.0007,0.0001,0.0052,0.006,0,0.0119,0,0.0003,0.0001,0.0004,NA,0.0046,0.0061,0.0104,0.0004,0.0052,0.0141,0.0073,0.0199,0.0324,0.0014,0.0147,0.0246,0.0179,NA,0.013,0.009,0.0128,0.0007,0.0133,0.0105,0.0017,, 
6/14/2023,45,2,14,C0,58,FF-58,0.016,NA,0.0074,0,0.0167,0.0003,NA,NA,0.0002,0.0122,0.0047,0.0006,0.0003,0.0045,0.006,NA,0.0108,0.0016,0.0003,0.0003,0,NA,0.0034,0.0057,0.0099,0.0003,0.0045,0.0129,0.0068,0.0192,0.0318,0.0014,0.0148,0.0228,0.0172,0.0078,0.0128,0.0087,0.0126,0.0007,0,0.0107,0.0015,, 
6/14/2023,45,3,15,C0,59,FF-59,0.0148,NA,0.0015,0,0.0166,0.0004,NA,0.0155,0.0008,0.0134,0.005,0.0005,0.0002,0.0049,0.0057,NA,0.0111,0,0.0002,0.0002,0.0003,NA,0.0179,0.0058,0.0099,0.0002,0.0049,0.0138,0.0067,0.0184,0.0316,0.0014,0.0144,0.0277,0.0174,NA,0.0126,0.0087,0.0123,0.0006,0.0001,0.0098,0.0018,, 
6/14/2023,45,4,16,C0,60,FF-60,0.0154,NA,0.0017,0,0.0162,0.0004,NA,0.038,0.001,0.0126,0.0048,0.0004,0,0,0.0056,NA,0.011,0.0019,0.0002,0,0.0002,NA,0.0338,0.0057,0.0094,0.0002,0,0.013,0.0065,0.0186,0.0298,0.0012,0.0139,0.0226,0.0167,NA,0.0123,0.0084,0.012,0.0005,0.0141,0.0098,0.0018,, 
6/14/2023,15,1,5,C0,61,FF-61,0.0162,NA,0.0137,0,0.017,0.0002,NA,0.0437,0,0,0.0032,0.0001,0.0002,0.0064,0.0057,NA,0.0064,0.0022,0.0001,0.0002,0.0002,NA,0.0129,0.004,0.0094,0.0001,0.0064,0.0138,0.0068,0.0023,0.03,0.0009,0.0145,0.0257,0.0161,NA,0.0116,0.0084,0.0125,0.0004,0.0151,0.01,0.0004,, 
6/14/2023,15,2,6,C0,62,FF-62,0.0166,NA,0.0399,0,0.0165,0.0002,NA,0.0389,0.0003,0.0117,0.003,0.0003,0.0005,0.0071,0.0055,NA,0.0056,0.0026,0.0001,0.0005,0.0001,NA,0.0221,0.0036,0.0089,0.0001,0.0071,0.0137,0.0068,0.0176,0.0293,0.0024,0.0148,0.0268,0.0152,NA,0.0112,0.0081,0.0159,0.0012,0.0143,0.01,0.0003,, 
6/14/2023,15,3,7,C0,63,FF-63,0.0146,NA,0.0153,0,0.0159,0.0001,NA,0.0567,0,0,0.0027,0.0001,0.0001,0.0058,0.0052,NA,0.0055,0.0023,0.0001,0.0001,0.0002,NA,0.0209,0.0034,0.0087,0.0001,0.0058,0.0136,0.0063,0.018,0.0277,0.0008,0.0126,0.0236,0.0143,NA,0.0107,0.008,0.0126,0,0.0162,0.0094,0.0002,, 
